SECS,FLUOR,NORM_FLUOR,SOURCE
0.000606179,269620,0.563737272,INDUCTION-4188-20201116-10_53_39
0.000609994,269645,0.563819469,INDUCTION-4188-20201116-10_53_39
0.000614047,269745,0.564148257,INDUCTION-4188-20201116-10_53_39
0.0006181,270020,0.565052425,INDUCTION-4188-20201116-10_53_39
0.000622153,270006,0.565006395,INDUCTION-4188-20201116-10_53_39
0.000626206,270090,0.565282577,INDUCTION-4188-20201116-10_53_39
0.000630021,270177,0.565568623,INDUCTION-4188-20201116-10_53_39
0.000634074,270280,0.565907275,INDUCTION-4188-20201116-10_53_39
0.000638127,270390,0.566268942,INDUCTION-4188-20201116-10_53_39
0.00064218,270535,0.566745685,INDUCTION-4188-20201116-10_53_39
0.000645995,270509,0.5666602,INDUCTION-4188-20201116-10_53_39
0.000650048,270683,0.567232292,INDUCTION-4188-20201116-10_53_39
0.000654101,270685,0.567238868,INDUCTION-4188-20201116-10_53_39
0.000658154,270835,0.567732051,INDUCTION-4188-20201116-10_53_39
0.000662207,270979,0.568205506,INDUCTION-4188-20201116-10_53_39
0.000666022,270920,0.568011521,INDUCTION-4188-20201116-10_53_39
0.000670075,271043,0.56841593,INDUCTION-4188-20201116-10_53_39
0.000674128,271111,0.568639507,INDUCTION-4188-20201116-10_53_39
0.000678181,271178,0.568859795,INDUCTION-4188-20201116-10_53_39
0.000681996,271320,0.569326674,INDUCTION-4188-20201116-10_53_39
0.000686049,271253,0.569106386,INDUCTION-4188-20201116-10_53_39
0.000690102,271400,0.569589705,INDUCTION-4188-20201116-10_53_39
0.000694155,271394,0.569569978,INDUCTION-4188-20201116-10_53_39
0.000698208,271447,0.569744236,INDUCTION-4188-20201116-10_53_39
0.000702023,271576,0.570168373,INDUCTION-4188-20201116-10_53_39
0.000706076,271504,0.569931645,INDUCTION-4188-20201116-10_53_39
0.000710129,271652,0.570418252,INDUCTION-4188-20201116-10_53_39
0.000714182,271684,0.570523464,INDUCTION-4188-20201116-10_53_39
0.000717997,271812,0.570944313,INDUCTION-4188-20201116-10_53_39
0.00072205,271772,0.570812798,INDUCTION-4188-20201116-10_53_39
0.000726103,271805,0.570921298,INDUCTION-4188-20201116-10_53_39
0.000730157,271902,0.571240223,INDUCTION-4188-20201116-10_53_39
0.00073421,271974,0.57147695,INDUCTION-4188-20201116-10_53_39
0.000738024,272086,0.571845193,INDUCTION-4188-20201116-10_53_39
0.000742077,272071,0.571795875,INDUCTION-4188-20201116-10_53_39
0.000746131,272146,0.572042466,INDUCTION-4188-20201116-10_53_39
0.000750184,272227,0.572308785,INDUCTION-4188-20201116-10_53_39
0.000753998,272298,0.572542225,INDUCTION-4188-20201116-10_53_39
0.000758051,272259,0.572413997,INDUCTION-4188-20201116-10_53_39
0.000762105,272276,0.572469891,INDUCTION-4188-20201116-10_53_39
0.000766158,272406,0.572897316,INDUCTION-4188-20201116-10_53_39
0.000770211,272385,0.572828271,INDUCTION-4188-20201116-10_53_39
0.000774026,272425,0.572959786,INDUCTION-4188-20201116-10_53_39
0.000778079,272475,0.57312418,INDUCTION-4188-20201116-10_53_39
0.000782132,272519,0.573268847,INDUCTION-4188-20201116-10_53_39
0.000786185,272519,0.573268847,INDUCTION-4188-20201116-10_53_39
0.00079,272497,0.573196514,INDUCTION-4188-20201116-10_53_39
0.000794053,272492,0.573180074,INDUCTION-4188-20201116-10_53_39
0.000798106,272590,0.573502287,INDUCTION-4188-20201116-10_53_39
0.000802159,272605,0.573551605,INDUCTION-4188-20201116-10_53_39
0.000806212,272597,0.573525302,INDUCTION-4188-20201116-10_53_39
0.000810027,272664,0.57374559,INDUCTION-4188-20201116-10_53_39
0.00081408,272698,0.573857378,INDUCTION-4188-20201116-10_53_39
0.000818133,272774,0.574107257,INDUCTION-4188-20201116-10_53_39
0.000822186,272658,0.573725863,INDUCTION-4188-20201116-10_53_39
0.000826001,272809,0.574222333,INDUCTION-4188-20201116-10_53_39
0.000830054,272811,0.574228909,INDUCTION-4188-20201116-10_53_39
0.000834107,272768,0.57408753,INDUCTION-4188-20201116-10_53_39
0.00083816,272882,0.574462349,INDUCTION-4188-20201116-10_53_39
0.000842213,272928,0.574613591,INDUCTION-4188-20201116-10_53_39
