SECS,FLUOR,NORM_FLUOR,SOURCE
0.000510096,1711,0.548439636,INDUCTION-4188-20201116-10_53_39
0.000514149,1770,0.578098609,INDUCTION-4188-20201116-10_53_39
0.000518202,1772,0.579103997,INDUCTION-4188-20201116-10_53_39
0.000522017,1784,0.585136331,INDUCTION-4188-20201116-10_53_39
0.00052607,1757,0.571563581,INDUCTION-4188-20201116-10_53_39
0.000530123,1786,0.58614172,INDUCTION-4188-20201116-10_53_39
0.000534176,1704,0.544920775,INDUCTION-4188-20201116-10_53_39
0.000537991,1720,0.552963886,INDUCTION-4188-20201116-10_53_39
0.000542044,1696,0.54089922,INDUCTION-4188-20201116-10_53_39
0.000546097,1671,0.528331859,INDUCTION-4188-20201116-10_53_39
0.00055015,1716,0.550953109,INDUCTION-4188-20201116-10_53_39
0.000554204,1727,0.556482748,INDUCTION-4188-20201116-10_53_39
0.000558018,1753,0.569552803,INDUCTION-4188-20201116-10_53_39
0.000562071,1724,0.554974664,INDUCTION-4188-20201116-10_53_39
0.000566125,1694,0.539893831,INDUCTION-4188-20201116-10_53_39
0.000570178,1617,0.501186359,INDUCTION-4188-20201116-10_53_39
0.000573992,1670,0.527829164,INDUCTION-4188-20201116-10_53_39
0.000578045,1749,0.567542025,INDUCTION-4188-20201116-10_53_39
0.000582099,1733,0.559498914,INDUCTION-4188-20201116-10_53_39
0.000586152,1712,0.548942331,INDUCTION-4188-20201116-10_53_39
0.000590205,1743,0.564525859,INDUCTION-4188-20201116-10_53_39
0.000594019,1777,0.58161747,INDUCTION-4188-20201116-10_53_39
0.000598073,1778,0.582120164,INDUCTION-4188-20201116-10_53_39
0.000602126,1735,0.560504303,INDUCTION-4188-20201116-10_53_39
0.000606179,1843,0.614795303,INDUCTION-4188-20201116-10_53_39
0.000609994,1758,0.572066275,INDUCTION-4188-20201116-10_53_39
0.000614047,1807,0.596698303,INDUCTION-4188-20201116-10_53_39
0.0006181,1808,0.597200997,INDUCTION-4188-20201116-10_53_39
0.000622153,1618,0.501689053,INDUCTION-4188-20201116-10_53_39
0.000626206,1712,0.548942331,INDUCTION-4188-20201116-10_53_39
0.000630021,1724,0.554974664,INDUCTION-4188-20201116-10_53_39
0.000634074,1827,0.606752192,INDUCTION-4188-20201116-10_53_39
0.000638127,1784,0.585136331,INDUCTION-4188-20201116-10_53_39
0.00064218,1690,0.537883053,INDUCTION-4188-20201116-10_53_39
0.000645995,1668,0.526823775,INDUCTION-4188-20201116-10_53_39
0.000650048,1745,0.565531247,INDUCTION-4188-20201116-10_53_39
0.000654101,1773,0.579606692,INDUCTION-4188-20201116-10_53_39
0.000658154,1816,0.601222553,INDUCTION-4188-20201116-10_53_39
0.000662207,1692,0.538888442,INDUCTION-4188-20201116-10_53_39
0.000666022,1773,0.579606692,INDUCTION-4188-20201116-10_53_39
0.000670075,1764,0.575082442,INDUCTION-4188-20201116-10_53_39
0.000674128,1732,0.55899622,INDUCTION-4188-20201116-10_53_39
0.000678181,1776,0.581114775,INDUCTION-4188-20201116-10_53_39
0.000681996,1734,0.560001609,INDUCTION-4188-20201116-10_53_39
0.000686049,1715,0.550450414,INDUCTION-4188-20201116-10_53_39
0.000690102,1738,0.562012386,INDUCTION-4188-20201116-10_53_39
0.000694155,1764,0.575082442,INDUCTION-4188-20201116-10_53_39
0.000698208,1779,0.582622859,INDUCTION-4188-20201116-10_53_39
0.000702023,1699,0.542407303,INDUCTION-4188-20201116-10_53_39
0.000706076,1733,0.559498914,INDUCTION-4188-20201116-10_53_39
0.000710129,1853,0.619822247,INDUCTION-4188-20201116-10_53_39
0.000714182,1809,0.597703692,INDUCTION-4188-20201116-10_53_39
0.000717997,1721,0.553466581,INDUCTION-4188-20201116-10_53_39
0.00072205,1728,0.556985442,INDUCTION-4188-20201116-10_53_39
0.000726103,1830,0.608260275,INDUCTION-4188-20201116-10_53_39
0.000730157,1762,0.574077053,INDUCTION-4188-20201116-10_53_39
0.00073421,1682,0.533861498,INDUCTION-4188-20201116-10_53_39
0.000738024,1718,0.551958498,INDUCTION-4188-20201116-10_53_39
0.000742077,1681,0.533358803,INDUCTION-4188-20201116-10_53_39
0.000746131,1709,0.547434248,INDUCTION-4188-20201116-10_53_39
0.000750184,1694,0.539893831,INDUCTION-4188-20201116-10_53_39
0.000753998,1678,0.53185072,INDUCTION-4188-20201116-10_53_39
0.000758051,1756,0.571060886,INDUCTION-4188-20201116-10_53_39
0.000762105,1743,0.564525859,INDUCTION-4188-20201116-10_53_39
0.000766158,1705,0.54542347,INDUCTION-4188-20201116-10_53_39
0.000770211,1680,0.532856109,INDUCTION-4188-20201116-10_53_39
0.000774026,1750,0.56804472,INDUCTION-4188-20201116-10_53_39
0.000778079,1762,0.574077053,INDUCTION-4188-20201116-10_53_39
0.000782132,1695,0.540396525,INDUCTION-4188-20201116-10_53_39
0.000786185,1748,0.567039331,INDUCTION-4188-20201116-10_53_39
0.00079,1771,0.578601303,INDUCTION-4188-20201116-10_53_39
0.000794053,1840,0.613287219,INDUCTION-4188-20201116-10_53_39
0.000798106,1789,0.587649803,INDUCTION-4188-20201116-10_53_39
0.000802159,1775,0.580612081,INDUCTION-4188-20201116-10_53_39
0.000806212,1715,0.550450414,INDUCTION-4188-20201116-10_53_39
0.000810027,1825,0.605746803,INDUCTION-4188-20201116-10_53_39
0.00081408,1757,0.571563581,INDUCTION-4188-20201116-10_53_39
0.000818133,1784,0.585136331,INDUCTION-4188-20201116-10_53_39
0.000822186,1864,0.625351886,INDUCTION-4188-20201116-10_53_39
0.000826001,1802,0.594184831,INDUCTION-4188-20201116-10_53_39
0.000830054,1696,0.54089922,INDUCTION-4188-20201116-10_53_39
0.000834107,1819,0.602730636,INDUCTION-4188-20201116-10_53_39
0.00083816,1734,0.560001609,INDUCTION-4188-20201116-10_53_39
0.000842213,1696,0.54089922,INDUCTION-4188-20201116-10_53_39
0.000846028,1776,0.581114775,INDUCTION-4188-20201116-10_53_39
0.000850081,1748,0.567039331,INDUCTION-4188-20201116-10_53_39
0.000854134,1731,0.558493525,INDUCTION-4188-20201116-10_53_39
0.000858187,1788,0.587147109,INDUCTION-4188-20201116-10_53_39
0.000862002,1772,0.579103997,INDUCTION-4188-20201116-10_53_39
0.000866055,1718,0.551958498,INDUCTION-4188-20201116-10_53_39
0.000870108,1797,0.591671358,INDUCTION-4188-20201116-10_53_39
0.000874161,1727,0.556482748,INDUCTION-4188-20201116-10_53_39
0.000878214,1708,0.546931553,INDUCTION-4188-20201116-10_53_39
0.000882029,1751,0.568547414,INDUCTION-4188-20201116-10_53_39
0.000886082,1680,0.532856109,INDUCTION-4188-20201116-10_53_39
0.000890135,1759,0.57256897,INDUCTION-4188-20201116-10_53_39
0.000894188,1807,0.596698303,INDUCTION-4188-20201116-10_53_39
0.000898003,1767,0.576590525,INDUCTION-4188-20201116-10_53_39
0.000902056,1700,0.542909998,INDUCTION-4188-20201116-10_53_39
0.000906109,1808,0.597200997,INDUCTION-4188-20201116-10_53_39
0.000910163,1829,0.607757581,INDUCTION-4188-20201116-10_53_39
0.000914216,1734,0.560001609,INDUCTION-4188-20201116-10_53_39
0.00091803,1743,0.564525859,INDUCTION-4188-20201116-10_53_39
0.000922083,1688,0.536877664,INDUCTION-4188-20201116-10_53_39
0.000926137,1675,0.530342637,INDUCTION-4188-20201116-10_53_39
0.00093019,1713,0.549445025,INDUCTION-4188-20201116-10_53_39
